Years,Deaths_year
1876,1
1877,1
1879,1
1880,1
1882,2
1884,8
1885,14
1889,1
1890,4
1891,1
1895,1
1896,1
1897,2
1899,3
1900,142
1901,68
1902,66
1903,2
1905,1
1906,3
1908,2
1911,4
1912,1
1913,2
1914,206
1915,5508
1916,17530
1917,21366
1918,20308
1919,2025
1920,934
1921,560
1922,185
1924,1
1925,1
1926,1
1928,1
1931,2
1932,3
1933,1
1935,5
1937,2
1939,89
1940,1215
1941,2921
1942,6594
1943,8215
1944,19830
1945,7024
1946,769
1947,564
1948,19
1949,43
1950,58
1951,217
1952,283
1953,204
1954,120
1955,82
1956,75
1957,71
1958,57
1959,33
1960,41
1961,32
1962,22
1963,45
1964,30
1965,54
1966,45
1967,35
1968,34
1969,40
1970,28
1971,33
1972,14
1973,24
1974,39
1975,13
1976,14
1977,33
1978,20
1979,11
1980,26
1981,16
1982,22
1983,25
1984,12
1985,19
1986,27
1987,11
1988,29
1989,23
1990,14
1991,15
1992,12
1993,25
1994,13
1995,10
1996,8
1997,10
1998,16
1999,12
2000,10
2001,6
2002,13
2003,14
2004,10
2005,14
2006,48
2007,39
2008,50
2009,42
2010,25
2011,21
2012,13
2013,16
2014,26
2015,16
2016,16
2017,15
2018,13
2019,6
2020,9
