Program/Component,Type of Funding/Service,Province,# of objects,# of Collections
Museums Assistance Program / Collections Management Component,Grant,AB,"3,200",
Museums Assistance Program / Collections Management Component,Grant,AB,"2,652",
Museums Assistance Program / Collections Management Component,Grant,AB,"3,233",
Museums Assistance Program / Collections Management Component,Grant,AB,540,
Museums Assistance Program / Collections Management Component,Grant,AB,"12,500",
Conservation Treatment at CCI,Service,AB,1,
Conservation Treatment at CCI,Service,AB,2,
Conservation Treatment at CCI,Service,AB,1,
Conservation Treatment at CCI,Service,AB,1,
Conservation Treatment at CCI,Service,AB,1,
Conservation Treatment at CCI,Service,AB,1,
Equipment Loan,Service,AB,,1
Other Professional Service,Service,AB,,1
Movable Cultural Property,Grant,BC,1,
Museums Assistance Program / Aboriginal Heritage Component,Contribution,BC,"3,000",
Museums Assistance Program / Aboriginal Heritage Component,Contribution,BC,474,
Museums Assistance Program / Aboriginal Heritage Component,Grant,BC,"2,000",
Museums Assistance Program / Collections Management Component,Grant,BC,"3,442",
Museums Assistance Program / Collections Management Component,Grant,BC,881,
Museums Assistance Program / Collections Management Component,Grant,BC,"5,576",
Conservation Treatment at CCI,Service,BC,2,
Conservation Treatment at CCI,Service,BC,1,
Conservation Treatment at CCI,Service,BC,2,
Scientific Service at CCI - Object Analysis and Examination,Service,BC,1,
Scientific Service at CCI - Object Analysis and Examination,Service,BC,1,
Scientific Service at CCI - Object Analysis and Examination,Service,BC,1,
Scientific Service at CCI - Product and Material Evaluation,Service,BC,,1
Scientific Service at CCI - Object Analysis and Examination,Service,BC,1,
Scientific Service at CCI - Object Analysis and Examination,Service,BC,1,
Emergency Response,Service,BC,,1
Archaeology Treatment at CCI - Excavation,Service,MB,3,
Archaeology Treatment at CCI - Excavation,Service,MB,47,
Emergency Response,Service,MB,,1
Museums Assistance Program / Collections Management Component,Grant,MB,"3,000",
Museums Assistance Program / Collections Management Component,Grant,MB,"30,000",
Museums Assistance Program / Collections Management Component,Grant,NB,"94,099",
Conservation Treatment at CCI,Service,NB,1,
Equipment Loan,Service,NB,,1
Conservation Treatment at CCI,Service,NL,1,
Archaeology Treatment at CCI - Excavation,Service,NT,132,
Other Professional Service,Service,NT,,1
Archaeology Treatment at CCI - Excavation,Service,NT,111,
Conservation Treatment at CCI,Service,NS,3,
Conservation Treatment at CCI,Service,NS,1,
Conservation Treatment at CCI,Service,NS,2,
Scientific Service at CCI - Object Analysis and Examination,Service,NS,1,
Museums Assistance Program / Collections Management Component,Grant,NS,"1,100",
Archaeology Treatment at CCI - Excavation,Service,Nunavut,125,
Archaeology Treatment at CCI - Excavation,Service,Nunavut,38,
Archaeology Treatment at CCI - Excavation,Service,Nunavut,519,
Movable Cultural Property,Grant,ON,1,
Movable Cultural Property,Grant,ON,1,
Movable Cultural Property,Grant,ON,1,
Museums Assistance Program / Collections Management Component,Grant,ON,"5,667",
Museums Assistance Program / Collections Management Component,Grant,ON,195,
Museums Assistance Program / Collections Management Component,Grant,ON,115,
Museums Assistance Program / Collections Management Component,Grant,ON,150,
Museums Assistance Program / Collections Management Component,Grant,ON,300,
Museums Assistance Program / Collections Management Component,Grant,ON,"5,000",
Museums Assistance Program / Collections Management Component,Grant,ON,"4,773",
Museums Assistance Program / Collections Management Component,Grant,ON,150,
Museums Assistance Program / Collections Management Component,Grant,ON,"1,730",
Museums Assistance Program / Collections Management Component,Grant,ON,"14,000",
Museums Assistance Program / Collections Management Component,Grant,ON,"1,500",
Conservation Treatment at CCI,Service,ON,2,
Conservation Treatment at CCI,Service,ON,1,
Conservation Treatment at CCI,Service,ON,1,
Scientific Service at client site,Service,ON,12,
Conservation Treatment at CCI,Service,ON,2,
Scientific Service at client site,Service,ON,1,
Other Professional Service,Service,ON,,1
Collection Survey / Risk Assessment Survey,Service,ON,,1
Conservation Treatment at CCI,Service,ON,1,
Conservation Treatment at CCI,Service,ON,1,
Scientific Service at client site,Service,ON,1,
Conservation Treatment at CCI,Service,ON,1,
Conservation Treatment at CCI,Service,ON,9,
Conservation Treatment at CCI,Service,ON,2,
Conservation Treatment at CCI,Service,ON,2,
Conservation Treatment at CCI,Service,ON,8,
Scientific Service at client site,Service,ON,3,
Other Professional Service,Service,ON,,1
Conservation Treatment at CCI,Service,ON,2,
Other Professional Service,Service,ON,,1
Conservation Treatment at CCI,Service,ON,1,
Conservation Treatment at CCI,Service,ON,1,
Conservation Treatment at CCI,Service,ON,1,
Conservation Treatment at CCI,Service,ON,1,
Conservation Treatment at CCI,Service,ON,1,
Other Professional Service,Service,ON,10,
Other Professional Service,Service,ON,,1
Conservation Treatment at CCI,Service,ON,18,
Other Professional Service,Service,ON,1,
Other Professional Service,Service,ON,,1
Conservation Treatment at CCI,Service,ON,5,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,18,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at client site,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at client site,Service,ON,3,
Conservation Treatment at CCI,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Other Professional Service,Service,ON,,1
Equipment Loan,Service,ON,,1
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Conservation Examination at CCI,Service,ON,1,
Scientific Service at client site,Service,ON,8,
Emergency Response,Service,ON,,1
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Other Professional Service,Service,ON,,1
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Equipment Loan,Service,ON,,1
Scientific Service at CCI - Object Analysis and Examination,Service,ON,2,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Other Professional Service,Service,ON,,1
Emergency Response,Service,ON,,1
Scientific Service at client site,Service,ON,1,
Conservation Treatment at CCI,Service,ON,3,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Equipment Loan,Service,ON,,1
Conservation Examination at client site,Service,ON,8,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Scientific Service at CCI - Object Analysis and Examination,Service,ON,1,
Museums Assistance Program / Collections Management Component,Grant,QC,"5,176",
