Place,City,Country
Ulster Museum,Belfast,United Kingdom
Barber Institute University of Birmingham,Birmingham,United Kingdom
City Museum and Art Gallery,Birmingham,United Kingdom
Brighton Museum and Art Gallery,Brighton,United Kingdom
Bristol City Museum,Bristol,United Kingdom
Museum of Archaeology and Anthropology,Cambridge,United Kingdom
Jesus College,Cambridge,United Kingdom
Dumas-Egerton Trust,Cambridge,United Kingdom
National Museums Scotland,Edinburgh,United Kingdom
Myers Museum Eton College,Berkshire,United Kingdom
Glasgow Art Gallery,Glasgow,United Kingdom
St Mungos  Museum of Religious Life,Glasgow,United Kingdom
Bankfield Museum,Halifax,United Kingdom
East Yorkshire Regimental Collection,Hull,United Kingdom
Hull Museums,Hull,United Kingdom
Ipwich Museum,Ipwich,United Kingdom
Leeds City Museum,Leeds,United Kingdom
Royal Armouries,Leeds,United Kingdom
World Museums,Liverpool,United Kingdom
Museum of Liverpool,Liverpool,United Kingdom
British Museum,London,United Kingdom
Horniman Museum London,London,United Kingdom
Lambeth Palace,London,United Kingdom
Natural History Museum,London,United Kingdom
Royal Museums Greenwich,London,United Kingdom
Victoria and Albert Museum,London,United Kingdom
Wellcome Collection,London,United Kingdom
Maidstone Museum,Kent,United Kingdom
Manchester Museum University of Manchester,Manchester,United Kingdom
Great North Museum,Newcastle,United Kingdom
National Museum of the Royal Navy,Porstmouth,United Kingdom
Cumberland House Museum,Porstmouth,United Kingdom
Lancashire Infantry Museum Fulwood Barracks,Preston,United Kingdom
Powell Cotton Museum,Birchington-on-Sea,United Kingdom
Norfolk Museum,Norfolk,United Kingdom
Sainsbury Centre University of East Anglia,Norwich,United Kingdom
The Royal Albert Museum,Exeter,United Kingdom
University Museums University of Aberdeen,Aberdeen,United Kingdom
Admolean Museum University of Oxford,Oxford,United Kingdom
The Rivers Museum University of Oxford,Oxford,United Kingdom
City Art Gallery,Salford,United Kingdom
World Museum National Museums Liverpool,Liverpool,United Kingdom
Warington Museum and Art Gallery,Warington,United Kingdom
Royal Collection,Windsor,United Kingdom
Baltimore Museum of Art,Baltimore,USA
Roche A Hearst Museum of Anthropology University of California,Berkeley,USA
Museum of Fine Arts,Boston,USA
Albright Knox Art Gallery,Buffalo,USA
Buffalo Museum of Science,Buffalo,USA
"Peabody Museum, Harvard University",Cambridge,USA
Art Institute of Chicago,Chicago,USA
Field Museum of Natural History,Chicago,USA
Cleveland Art Museum,Cleveland,USA
Dallas Art Museum,Dallas,USA
"Hood Museum of Art, Dartmouth College",Hanover,USA
Denver Art Museum,Denver,USA
Detroit Institute of Arts,Detroit,USA
Indianapolis Museum of Art,Indianapolis,USA
University of Iowa,Iowa City,USA
Los Angeles County Museum of Art,Los Angeles,USA
"Fowler Museum, University of California",Los Angeles,USA
Milwaukee Public Museum,Milwaukee,USA
Minneapolis Institute of Arts,Minneapolis,USA
Newark Museum,Newark,USA
Yale University Art Gallery,New Haven,USA
New Orleans Museum of Art,New Orleans,USA
American Museum of Natural History,New York City,USA
Brooklyn Museum,New York City,USA
The Metropolitan Museum of Art,New York City,USA
Stovall Museum,Norman,USA
Allen Memorial Art Museum,Oberlin,USA
Philadelphia Museum of Art,Philadelphia,USA
Carnegie Institute,Pittsburgh,USA
University of Pennsylvania Museum of Archaeology and Anthropology,Philadelphia,USA
"Museum of Art, Rhode Island School of Design",Providence,USA
Haffenreffer Museum of Antrhopology,Providence,USA
de Young Museum,San Francisco,USA
Seattle Art Museum,Seattle,USA
City Art Museum,St Louis,USA
Hirschhorn Museum of Sculpture Garden,Washington,USA
"National Museum of African Art, Smithsonian Institution",Washington,USA
Ethnologisches Museum Berlin,Berlin,Germany
Bode-Museum,Berlin,Germany
Stadtisches Museum,Braunschweig,Germany
Ubersee-Museum,Bremen,Germany
Stadtisches Museum,Brunswick,Germany
Rautenstrauch-Joest Museum,Cologne,Germany
Hessiches Landesmuseum,Darmstadt,Germany
Dresden Museum fur Volkerunde University of Gottingen,Dresden,Germany
Staatliche Museum fur Volkerkunde,Dresden,Germany
Museum der Weltkulturen,Frankfurt am Main,Germany
Museum Natur und Mensch,Freiburg,Germany
Intitut fur Volkerkunde University of Gottingen,Göttingen,Germany
MKG Museum fur Kunst und Gewerbe,Hamburg,Germany
MARKK Museum am Rothenbaum Kulturen und Kunste der Welt,Hamburg,Germany
Niedersachisisches Landesmuseum,Hannover,Germany
Volkerkundesammlung der J und E von Portheim Stiftung,Heidelberg,Germany
Roemer-Pelizaeus-Museum,Hildesheim,Germany
Grassi Volkerkundemuseum,Leipzig,Germany
Volkerkundesammlung,Lübeck,Germany
Reiss Englehorn Museum,Mannheim,Germany
Johannes Gutenberg University,Mainz,Germany
Musuem Funf Kontinente,Munich,Germany
Linden Museum,Stuttgart,Germany
Museum der Stadt Ulm,Ulm,Germany
Royal Court of Benin,Benin,Nigeria
Collection of the High Priest Osemwegie Ebohon,Benin,Nigeria
National Museum,Benin City,Nigeria
National Museum Calabar,Calabar,Nigeria
National Museum,Ife,Nigeria
National Museum,Lagos,Nigeria
Ibadan University,Ibadan,Nigeria
National Commision for Museums and Monuments,,Nigeria
Museo do Dondo,Dondo,Angola
South Australian Museum,Adelaide,Australia
Australian Museum,Sydney,Australia
Welmuseum,Vienna,Austria
Oesterreichische Akademie der Wissenschaften,Vienna,Austria
Etnografisch Museum,Antwerp,Beligium
Musées royaux d'art et d'histoire,Brussels,Beligium
Royal Africa Museum,Tervuren,Beligium
Musee canadien de l'histoire,Gatineau,Canada
Musee des beaux-arts,Montreal,Canada
Royal Ontario Museum,Toronto,Canada
Museum of Anthropology at the University of British Columbia,Vancouver,Canada
National Museum,Copenhagen,Denmark
Moesgaard Museum,Aarhus,Denmark
Musee du quai Branly,Paris,France
Cluny Museum,Paris,France
National Museum of Ireland,Dublin,Ireland
Hunt Museum,Limerick,Ireland
Vatican Museums,Vatican City,Italy
National Museum of Ethnology,Osaka,Japan
Tropenmuseum,Amsterdam,Netherlands
Rijksmuseum van Oudheden,Leiden,Netherlands
Museum Volkenkunde,Leiden,Netherlands
Museum voor Land en Volkenkunde,Rotterdam,Netherlands
Ethnographic Museum,Oslo,Norway
Sociedade de Geografia,Lisbon,Portugal
